,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
201,20010228,Consumer Staples,236,0.0035,0.014552,0.078,0.42,0.698,15.140999999999998,1.99,7.109,6.4639999999999995,10.87,10.578,11.405,11.645,0.41700000000000004,1.518,0.37,0.486,0.08900000000000001,0.087,0.095,0.331,0.019,0.049,0.08,0.111,0.159,0.027999999999999997,0.132,0.11900000000000001,0.085,0.36200000000000004,0.619,0.363,0.5529999999999999,0.44,0.32799999999999996,0.428,0.287,0.124,0.045,0.052000000000000005,0.204,0.516,0.469,2.006,0.5539999999999999,0.107,0.084,0.37,1.777,1.3880000000000001,0.598,0.34600000000000003,0.542,1.913,2.476,61.992,0.095,1.516,0.7959999999999999,1.464,5.4639999999999995,9.561,11.209000000000001,3.9560000000000004,2.282,8.03,0.053,0.0,0.001,0.0,0.51,1.2930000000000001
211,20010331,Consumer Staples,234,0.019836000000000003,-0.047846,0.077,0.36200000000000004,0.701,15.78,1.91,6.972,6.164,10.072000000000001,9.454,10.940999999999999,10.960999999999999,0.43700000000000006,1.5090000000000001,0.37,0.47100000000000003,0.08900000000000001,0.08800000000000001,0.094,0.331,0.02,0.049,0.08199999999999999,0.111,0.16399999999999998,0.028999999999999998,0.132,0.11800000000000001,0.086,0.35600000000000004,0.626,0.35600000000000004,0.5529999999999999,0.43700000000000006,0.32899999999999996,0.436,0.281,0.124,0.044000000000000004,0.052000000000000005,0.19699999999999998,0.526,0.466,2.037,0.531,0.107,0.084,0.373,1.736,1.382,0.5920000000000001,0.34600000000000003,0.54,1.949,2.532,61.992,0.10099999999999999,1.52,0.7959999999999999,1.464,5.577999999999999,9.811,11.209000000000001,3.7760000000000002,2.271,8.03,0.055,0.0,0.001,0.0,0.436,1.215
221,20010430,Consumer Staples,231,0.041041,-0.00657,0.071,0.445,0.672,16.202,1.89,7.016,6.475,10.206,9.974,10.88,11.148,0.455,1.5090000000000001,0.36700000000000005,0.48200000000000004,0.08800000000000001,0.086,0.091,0.332,0.019,0.048,0.083,0.107,0.161,0.027999999999999997,0.131,0.11800000000000001,0.084,0.354,0.625,0.35,0.544,0.435,0.337,0.414,0.28600000000000003,0.125,0.051,0.052000000000000005,0.196,0.519,0.466,2.076,0.503,0.107,0.084,0.38299999999999995,1.744,1.371,0.591,0.344,0.5379999999999999,1.942,2.542,62.66,0.11699999999999999,1.5590000000000002,0.7979999999999999,1.4340000000000002,5.561,9.8,11.138,3.695,2.237,7.792000000000001,0.052000000000000005,0.0,0.001,0.0,0.392,1.335
231,20010531,Consumer Staples,226,0.061728,0.023786,0.10800000000000001,0.275,0.629,15.265,1.85,7.495,6.73,10.142999999999999,10.372,10.520999999999999,10.673,0.46799999999999997,1.575,0.369,0.465,0.087,0.086,0.085,0.313,0.018000000000000002,0.049,0.081,0.107,0.162,0.026000000000000002,0.129,0.11699999999999999,0.08,0.39,0.589,0.38799999999999996,0.55,0.431,0.327,0.40299999999999997,0.293,0.126,0.048,0.052000000000000005,0.19,0.517,0.462,2.327,0.583,0.105,0.08,0.39,1.751,1.357,0.589,0.34600000000000003,0.54,1.9040000000000001,2.445,62.925,0.11599999999999999,1.548,0.828,1.4369999999999998,5.622000000000001,9.65,10.715,3.725,2.271,8.285,0.054000000000000006,0.0,0.001,0.0,0.366,1.161
241,20010630,Consumer Staples,225,0.01684,-0.028832,0.12,0.306,0.624,16.27,1.96,7.596,6.721,10.447000000000001,10.687999999999999,11.190999999999999,11.195,0.473,1.605,0.36700000000000005,0.46299999999999997,0.08800000000000001,0.086,0.086,0.313,0.018000000000000002,0.052000000000000005,0.08199999999999999,0.105,0.161,0.026000000000000002,0.13,0.11699999999999999,0.08,0.392,0.59,0.38799999999999996,0.552,0.436,0.327,0.39,0.304,0.124,0.048,0.052000000000000005,0.193,0.522,0.465,2.327,0.584,0.105,0.08199999999999999,0.39,1.75,1.3459999999999999,0.59,0.34299999999999997,0.539,1.954,2.4930000000000003,62.732,0.115,1.54,0.8340000000000001,1.4409999999999998,5.72,9.699,10.966,3.7880000000000003,2.269,8.351,0.055,0.0,0.001,0.0,0.456,1.178
251,20010731,Consumer Staples,221,0.02748,0.010262,0.134,0.34600000000000003,0.616,15.937999999999999,1.85,7.539,6.932,11.155,11.315,11.333,11.409,0.479,1.6669999999999998,0.36700000000000005,0.455,0.091,0.09300000000000001,0.086,0.321,0.019,0.052000000000000005,0.083,0.10800000000000001,0.16,0.027000000000000003,0.131,0.11699999999999999,0.081,0.386,0.596,0.381,0.55,0.425,0.326,0.41,0.321,0.125,0.047,0.053,0.193,0.54,0.45299999999999996,2.391,0.5670000000000001,0.105,0.081,0.386,1.735,1.345,0.583,0.33899999999999997,0.536,1.9669999999999999,2.592,62.67,0.11,1.557,0.845,1.4409999999999998,5.72,9.699,10.966,3.725,2.2030000000000003,8.285,0.055,0.0,0.001,0.0,0.33799999999999997,1.222
261,20010831,Consumer Staples,219,0.018027,0.038096,0.122,0.436,0.5820000000000001,16.925,1.84,7.705,6.845,11.673,11.5,10.933,11.074000000000002,0.491,1.722,0.368,0.446,0.099,0.095,0.085,0.326,0.019,0.054000000000000006,0.083,0.111,0.166,0.03,0.135,0.11800000000000001,0.086,0.37,0.596,0.36700000000000005,0.506,0.44,0.32299999999999995,0.447,0.34299999999999997,0.126,0.046,0.053,0.18,0.551,0.455,2.331,0.551,0.10400000000000001,0.08199999999999999,0.38,1.7009999999999998,1.266,0.5760000000000001,0.33899999999999997,0.526,1.954,2.6719999999999997,64.581,0.109,1.575,0.845,1.413,5.641,9.611,10.802999999999999,3.6060000000000003,2.171,8.193999999999999,0.052000000000000005,0.0,0.001,0.0,0.126,1.209
271,20010930,Consumer Staples,218,-0.067242,-0.016637,0.132,0.342,0.5820000000000001,15.714,1.95,7.724,6.48,10.626,10.538,9.922,10.39,0.461,1.527,0.368,0.446,0.09699999999999999,0.092,0.084,0.33299999999999996,0.019,0.054000000000000006,0.083,0.11599999999999999,0.168,0.03,0.135,0.11699999999999999,0.086,0.368,0.597,0.366,0.504,0.434,0.326,0.44,0.33799999999999997,0.132,0.049,0.053,0.179,0.552,0.45799999999999996,2.291,0.55,0.10400000000000001,0.08199999999999999,0.381,1.695,1.258,0.575,0.337,0.524,1.996,2.73,62.468,0.109,1.581,0.8240000000000001,1.4069999999999998,5.655,9.66,11.020999999999999,3.588,2.199,8.269,0.051,0.0,0.001,0.0,0.237,1.2209999999999999
281,20011031,Consumer Staples,213,0.032473,-0.005107,0.151,0.317,0.57,16.184,1.96,7.84,6.216,10.592,10.505,10.484000000000002,10.505,0.519,1.645,0.368,0.45299999999999996,0.099,0.094,0.084,0.33399999999999996,0.02,0.057,0.084,0.11800000000000001,0.17300000000000001,0.033,0.134,0.11800000000000001,0.08800000000000001,0.381,0.593,0.375,0.504,0.428,0.33,0.45299999999999996,0.344,0.134,0.047,0.055,0.179,0.551,0.457,2.279,0.56,0.10300000000000001,0.08,0.386,1.695,1.247,0.575,0.33799999999999997,0.524,1.985,2.813,63.575,0.109,1.575,0.831,1.393,5.645,9.611,10.729000000000001,3.577,2.171,8.163,0.052000000000000005,0.0,0.002,0.0,0.16699999999999998,1.133
291,20011130,Consumer Staples,213,0.042633,0.022557,0.132,0.36200000000000004,0.619,17.072,1.93,8.118,7.29,11.085,11.044,11.458,12.003,0.504,1.713,0.36700000000000005,0.455,0.09,0.09,0.08199999999999999,0.331,0.021,0.057,0.083,0.11800000000000001,0.175,0.035,0.134,0.11599999999999999,0.081,0.38,0.59,0.38,0.521,0.434,0.336,0.447,0.345,0.134,0.047,0.055999999999999994,0.187,0.541,0.47200000000000003,2.4290000000000003,0.563,0.10099999999999999,0.079,0.391,1.767,1.285,0.581,0.345,0.523,2.004,2.867,63.8,0.113,1.597,0.838,1.419,5.619,9.727,10.562000000000001,3.5780000000000003,2.2,8.126,0.055999999999999994,0.0,0.002,0.0,0.19899999999999998,1.3969999999999998
