public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
20100331,Consumer Staples,170,0.062860,0.041333,0.152,0.900,0.545,18.490,2.36%,7.735,8.185,14.946,14.984,14.500,14.523,0.810,1.921,0.347,0.398,0.137,0.137,0.113,0.344,0.043,0.076,0.108,0.160,0.253,0.060,0.147,0.166,0.130,0.244,0.739,0.243,0.333,0.341,0.264,0.704,0.533,0.176,0.147,0.072,0.113,0.707,0.456,1.360,0.304,0.074,0.062,0.361,2.005,0.957,0.503,0.233,0.389,5.462,8.092,55.736,0.345,1.817,1.103,1.368,6.473,10.974,11.640,3.083,1.994,7.251,0.061,0.000,0.006,0.000,0.594,1.411
20100331,Energy,224,0.026734,0.028818,0.000,0.079,0.713,9.036,1.15%,7.654,5.491,-1.320,-1.242,-1.028,-1.028,1.854,1.527,0.329,0.126,-0.023,-0.023,0.000,0.281,-0.035,0.005,0.150,0.002,0.003,-0.045,0.077,0.002,-0.023,0.280,0.694,0.282,0.312,0.065,0.387,0.070,0.766,0.184,0.098,0.113,0.023,0.641,0.272,1.084,0.329,0.075,0.068,0.405,0.763,0.872,0.509,0.226,0.381,-0.016,0.167,53.262,0.366,1.556,1.254,0.360,13.557,6.436,5.084,0.824,0.485,4.150,0.116,0.000,0.000,0.000,-0.062,-0.064
20100331,Financials,785,0.066257,0.086836,0.364,0.419,1.200,11.987,2.44%,10.574,6.587,8.667,8.629,9.734,9.824,1.275,0.922,0.295,0.030,0.024,0.028,0.000,0.405,0.042,0.156,0.189,0.141,0.277,0.057,0.014,0.047,0.030,0.374,0.573,0.371,0.621,0.000,0.266,0.900,0.463,0.011,0.067,0.077,0.289,0.526,0.475,3.516,0.616,0.065,0.053,0.079,56.730,8.464,0.895,0.119,0.894,3.196,4.142,243.688,0.811,2.060,1.854,0.061,5.161,0.060,0.094,0.684,0.392,2.887,0.009,0.000,0.005,0.232,-0.012,1.095
20100331,Health Care,587,0.084503,0.038644,0.000,0.181,0.402,-2.078,1.58%,5.745,5.287,-0.803,-0.627,1.819,1.834,2.461,2.636,0.331,0.286,0.014,0.007,0.001,0.431,0.002,0.031,0.065,0.026,0.041,0.010,0.063,0.040,0.003,0.021,0.952,0.028,0.105,0.045,0.194,0.811,0.215,0.080,0.833,0.036,0.192,0.244,0.635,0.000,0.023,0.086,0.067,0.060,4.541,0.553,0.396,0.067,0.179,1.670,3.024,90.253,1.485,2.712,2.396,0.694,3.457,10.353,6.481,1.179,0.978,1.955,0.069,0.092,0.000,0.000,-0.041,1.214
20100331,Industrials,568,0.081785,0.085871,0.000,0.398,0.653,15.876,1.66%,8.847,7.470,12.441,12.444,14.936,15.282,0.796,1.643,0.332,0.273,0.053,0.053,0.054,0.282,0.022,0.057,0.096,0.087,0.129,0.030,0.101,0.086,0.047,0.194,0.786,0.199,0.273,0.216,0.367,0.762,0.434,0.169,0.199,0.060,0.115,0.471,0.503,1.289,0.227,0.076,0.064,0.261,2.485,0.898,0.498,0.174,0.352,2.203,3.602,82.711,0.470,2.097,1.542,1.019,5.085,9.915,6.111,2.114,1.540,4.217,0.073,0.000,0.000,0.000,-0.035,1.416
20100331,Information Technology,705,0.079042,0.067952,0.000,0.110,0.538,13.860,1.71%,10.220,9.772,4.833,5.770,11.075,11.212,1.810,2.035,0.289,0.354,0.010,0.012,0.000,0.491,0.005,0.027,0.073,0.036,0.062,0.005,0.068,0.038,0.008,0.002,0.996,0.003,0.028,0.073,0.225,0.821,0.332,0.207,0.895,0.054,0.272,0.255,0.772,0.000,0.002,0.082,0.063,0.006,4.625,0.491,0.349,0.021,0.140,0.945,2.448,80.684,1.364,2.522,2.204,0.766,4.258,7.132,5.811,1.193,1.061,2.189,0.090,0.112,0.000,0.000,-0.030,1.194
20100331,Materials,186,0.099359,0.080980,0.172,0.344,0.569,16.397,1.62%,8.245,7.170,12.869,12.208,14.895,15.135,0.938,1.948,0.323,0.207,0.071,0.070,0.071,0.258,0.028,0.057,0.115,0.065,0.084,0.043,0.102,0.072,0.061,0.300,0.687,0.298,0.341,0.306,0.326,0.655,0.628,0.187,0.174,0.077,0.077,0.628,0.314,1.813,0.406,0.072,0.065,0.362,1.443,1.121,0.542,0.220,0.395,2.511,2.973,83.061,0.521,2.313,1.512,0.867,5.472,8.869,7.091,2.022,1.256,3.755,0.075,0.002,0.000,0.000,0.192,1.867
20100331,Telecommunication Services,52,0.113995,0.057139,0.271,0.175,0.491,7.869,6.62%,6.478,4.497,4.478,6.902,10.059,10.059,1.181,2.060,0.356,0.281,0.027,0.008,0.065,0.584,0.006,0.094,0.251,0.065,0.109,0.013,0.137,0.062,0.026,0.522,0.473,0.483,0.490,0.033,0.297,0.391,0.899,0.141,0.121,0.200,0.036,1.151,0.220,3.043,0.819,0.076,0.076,0.557,1.565,1.413,0.629,0.391,0.561,1.319,1.319,24.890,0.624,1.545,1.439,0.520,18.482,7.761,9.714,1.566,0.688,5.735,0.108,0.000,0.002,0.000,-0.109,0.611
20100331,Utilities,103,0.041503,0.030836,0.616,1.698,0.918,15.810,4.29%,8.729,5.142,14.238,14.287,14.916,15.032,1.161,1.090,0.340,0.089,0.096,0.095,0.071,0.247,0.071,0.152,0.241,0.068,0.083,0.101,0.086,0.088,0.073,0.503,0.487,0.502,0.578,0.173,0.415,0.082,0.617,0.105,0.020,0.172,0.103,0.704,0.170,3.998,0.729,0.070,0.059,0.444,1.017,2.320,0.699,0.346,0.565,2.314,2.787,38.057,0.122,1.093,0.840,0.357,11.827,8.068,7.044,1.205,0.579,11.322,0.050,0.000,0.000,0.000,1.191,2.725
20100430,Consumer Discretionary,598,0.105025,0.064158,0.000,0.307,0.647,13.425,1.72%,7.847,7.656,14.719,14.607,15.607,15.849,0.773,1.973,0.354,0.409,0.064,0.063,0.062,0.356,0.021,0.057,0.102,0.102,0.150,0.029,0.114,0.095,0.060,0.255,0.738,0.255,0.342,0.238,0.237,0.742,0.526,0.198,0.197,0.061,0.072,0.568,0.515,1.240,0.262,0.078,0.066,0.295,2.315,0.959,0.529,0.211,0.404,1.985,3.034,67.220,0.498,1.787,1.171,1.254,5.242,10.597,10.667,2.568,1.871,5.101,0.095,0.000,0.014,0.000,0.411,1.316
20100430,Consumer Staples,171,0.039145,-0.013429,0.150,0.967,0.522,18.472,2.49%,7.861,8.117,15.016,15.016,14.597,14.676,0.860,2.077,0.350,0.398,0.145,0.145,0.114,0.346,0.043,0.076,0.108,0.160,0.252,0.060,0.150,0.165,0.134,0.244,0.729,0.243,0.348,0.337,0.264,0.709,0.541,0.176,0.146,0.073,0.113,0.712,0.456,1.350,0.288,0.075,0.062,0.362,2.046,0.952,0.508,0.232,0.389,5.393,8.003,56.527,0.352,1.825,1.105,1.373,6.474,10.947,11.637,3.055,1.986,7.212,0.058,0.000,0.006,0.000,0.695,1.506
20100430,Energy,223,0.086503,0.041688,0.000,0.045,0.718,9.698,1.09%,7.646,6.154,-1.539,-1.478,-1.000,-1.000,2.014,1.620,0.329,0.126,-0.023,-0.023,0.000,0.296,-0.033,0.006,0.152,0.002,0.003,-0.043,0.080,0.003,-0.021,0.281,0.694,0.283,0.313,0.066,0.388,0.068,0.782,0.184,0.098,0.115,0.023,0.644,0.271,1.055,0.331,0.075,0.069,0.408,0.767,0.880,0.509,0.226,0.382,0.035,0.205,52.185,0.365,1.547,1.242,0.361,13.467,6.425,5.103,0.843,0.485,4.163,0.116,0.000,0.000,0.000,-0.078,-0.074
20100430,Financials,778,0.104965,0.020546,0.370,0.435,1.194,12.584,2.29%,10.617,7.359,9.300,9.296,10.194,10.330,1.377,0.983,0.295,0.030,0.026,0.030,0.000,0.408,0.045,0.157,0.190,0.143,0.298,0.059,0.014,0.048,0.030,0.372,0.572,0.371,0.620,0.000,0.277,0.899,0.465,0.011,0.067,0.080,0.291,0.570,0.449,3.526,0.616,0.065,0.054,0.081,56.730,8.455,0.895,0.118,0.894,3.218,4.142,243.688,0.834,2.076,1.836,0.061,5.169,0.059,0.094,0.684,0.392,2.792,0.009,0.000,0.005,0.232,-0.020,1.172
20100430,Health Care,588,0.063849,-0.023485,0.000,0.167,0.404,-2.385,1.55%,5.716,5.190,-1.017,-0.869,-0.266,-0.266,2.582,2.831,0.331,0.286,0.014,0.007,0.001,0.423,0.001,0.029,0.063,0.026,0.038,0.010,0.063,0.040,0.003,0.021,0.948,0.031,0.107,0.046,0.194,0.804,0.211,0.080,0.808,0.036,0.193,0.242,0.633,0.000,0.026,0.086,0.067,0.062,4.533,0.553,0.396,0.067,0.178,1.660,2.861,91.771,1.482,2.705,2.387,0.693,3.400,10.312,6.481,1.179,0.980,1.927,0.069,0.092,0.000,0.000,-0.057,1.164
20100430,Industrials,565,0.078565,0.045720,0.000,0.392,0.653,17.208,1.60%,8.939,8.011,13.527,13.637,15.544,15.667,0.870,1.723,0.332,0.271,0.053,0.053,0.054,0.282,0.023,0.057,0.095,0.087,0.128,0.032,0.101,0.087,0.047,0.197,0.782,0.203,0.274,0.216,0.367,0.762,0.437,0.167,0.198,0.061,0.112,0.467,0.496,1.379,0.228,0.076,0.064,0.276,2.476,0.907,0.498,0.177,0.352,2.210,3.557,81.510,0.466,2.097,1.554,1.018,5.150,9.990,6.128,2.103,1.529,4.204,0.074,0.000,0.000,0.000,-0.032,1.472
20100430,Information Technology,702,0.051903,0.021029,0.000,0.096,0.532,13.918,1.64%,10.328,10.652,5.839,5.891,11.289,11.289,1.894,2.144,0.287,0.356,0.014,0.014,0.000,0.491,0.006,0.028,0.074,0.036,0.062,0.008,0.070,0.040,0.011,0.003,0.994,0.003,0.031,0.071,0.228,0.820,0.332,0.206,0.872,0.054,0.267,0.255,0.770,0.002,0.003,0.084,0.063,0.008,4.619,0.498,0.350,0.023,0.141,0.982,2.588,80.535,1.353,2.507,2.204,0.772,4.285,7.191,5.811,1.213,1.077,2.216,0.090,0.107,0.000,0.000,-0.032,1.195
20100430,Materials,186,0.069270,0.009469,0.153,0.250,0.568,16.572,1.40%,8.137,7.416,12.621,12.339,14.505,14.931,0.953,2.055,0.325,0.211,0.071,0.070,0.071,0.258,0.028,0.060,0.115,0.069,0.089,0.044,0.105,0.076,0.062,0.300,0.687,0.298,0.341,0.308,0.326,0.655,0.625,0.187,0.171,0.079,0.077,0.633,0.314,1.673,0.402,0.072,0.065,0.367,1.443,1.121,0.542,0.220,0.397,2.511,2.953,82.824,0.518,2.302,1.508,0.868,5.461,9.017,7.092,2.023,1.255,3.766,0.076,0.002,0.000,0.000,0.152,1.844
20100430,Telecommunication Services,51,0.046587,0.001782,0.271,0.304,0.491,10.027,6.51%,6.496,4.757,4.810,9.108,9.849,9.849,1.216,1.992,0.356,0.279,0.013,0.003,0.065,0.584,0.014,0.101,0.257,0.067,0.105,0.019,0.138,0.064,0.042,0.523,0.473,0.483,0.490,0.034,0.282,0.387,0.922,0.141,0.123,0.206,0.035,1.156,0.212,3.083,0.819,0.076,0.076,0.572,1.564,1.435,0.624,0.386,0.556,1.319,1.332,24.890,0.631,1.560,1.452,0.519,18.482,7.935,9.738,1.566,0.688,5.735,0.105,0.000,0.003,0.000,-0.258,0.903
20100430,Utilities,102,0.041688,0.030193,0.616,1.700,0.918,16.405,4.22%,8.738,5.242,14.914,14.914,15.299,15.403,1.199,1.121,0.340,0.089,0.095,0.095,0.071,0.249,0.072,0.153,0.242,0.068,0.083,0.104,0.086,0.088,0.073,0.503,0.487,0.502,0.578,0.174,0.421,0.082,0.623,0.105,0.019,0.173,0.100,0.705,0.170,4.002,0.729,0.070,0.059,0.445,1.010,2.332,0.698,0.345,0.565,2.315,2.800,38.057,0.129,1.099,0.843,0.357,11.827,8.068,7.035,1.205,0.579,11.322,0.050,0.000,0.000,0.000,1.195,2.716
20100531,Consumer Discretionary,595,-0.080257,-0.070477,0.000,0.253,0.567,13.202,1.88%,7.675,6.761,12.945,12.683,13.441,13.833,0.720,1.716,0.354,0.424,0.067,0.068,0.063,0.357,0.024,0.063,0.105,0.116,0.174,0.033,0.122,0.105,0.066,0.247,0.737,0.246,0.333,0.242,0.241,0.748,0.543,0.201,0.206,0.069,0.098,0.592,0.528,1.198,0.261,0.081,0.068,0.271,2.305,0.952,0.528,0.207,0.401,2.408,3.460,64.495,0.494,1.770,1.169,1.288,5.490,10.348,10.844,2.598,1.910,5.159,0.091,0.000,0.013,0.000,0.247,1.182
20100531,Consumer Staples,169,-0.068791,-0.048288,0.152,0.655,0.517,16.260,2.71%,7.761,7.225,12.456,12.400,12.164,12.400,0.829,1.770,0.348,0.405,0.144,0.144,0.106,0.351,0.045,0.081,0.111,0.162,0.252,0.069,0.154,0.165,0.129,0.250,0.739,0.249,0.349,0.342,0.261,0.722,0.542,0.185,0.153,0.073,0.126,0.730,0.446,1.264,0.293,0.069,0.059,0.370,1.999,0.939,0.509,0.237,0.399,6.275,8.768,54.782,0.389,1.848,1.148,1.334,5.999,10.404,11.025,2.932,1.940,7.092,0.062,0.000,0.007,0.000,0.541,1.300
20100531,Energy,221,-0.139650,-0.108404,0.000,0.028,0.691,8.752,1.19%,7.624,5.743,6.823,7.012,6.649,6.538,1.758,1.373,0.329,0.152,0.033,0.032,0.030,0.351,0.020,0.062,0.196,0.031,0.039,0.037,0.097,0.037,0.021,0.300,0.682,0.300,0.335,0.066,0.364,0.151,0.798,0.183,0.104,0.150,0.033,0.774,0.255,1.508,0.335,0.077,0.071,0.420,0.780,0.928,0.517,0.233,0.397,1.361,1.385,49.075,0.389,1.538,1.309,0.367,12.278,6.068,5.869,0.822,0.495,4.208,0.104,0.000,0.000,0.000,-0.044,0.990
20100531,Financials,773,-0.081541,-0.093583,0.446,0.230,1.088,12.144,2.48%,10.593,6.231,7.816,7.901,8.337,8.509,1.305,0.914,0.295,0.032,0.032,0.033,0.000,0.424,0.048,0.160,0.192,0.174,0.359,0.065,0.015,0.048,0.035,0.400,0.576,0.408,0.605,0.000,0.260,0.909,0.423,0.011,0.067,0.088,0.200,0.647,0.482,3.636,0.679,0.063,0.054,0.097,57.794,8.407,0.893,0.121,0.892,3.719,4.389,248.558,0.998,2.007,1.871,0.059,4.325,0.051,0.094,0.673,0.374,2.935,0.010,0.000,0.005,0.232,-0.021,1.099
20100531,Health Care,588,-0.083008,-0.069026,0.000,0.125,0.374,-2.060,1.87%,5.647,5.504,-1.033,-0.743,5.187,5.113,2.416,2.646,0.331,0.291,0.025,0.022,0.000,0.412,0.008,0.033,0.064,0.032,0.060,0.014,0.063,0.049,0.004,0.037,0.927,0.042,0.122,0.043,0.189,0.798,0.237,0.080,0.858,0.039,0.226,0.253,0.619,0.000,0.034,0.088,0.069,0.106,4.543,0.570,0.403,0.084,0.202,1.887,2.949,78.213,1.558,2.700,2.400,0.698,3.388,10.156,6.587,1.248,1.030,2.062,0.071,0.091,0.000,0.000,-0.087,1.084
20100531,Industrials,566,-0.079284,-0.089282,0.026,0.471,0.622,15.648,1.73%,8.769,7.234,12.737,12.641,14.412,14.587,0.803,1.582,0.330,0.273,0.064,0.064,0.058,0.283,0.026,0.060,0.099,0.087,0.130,0.039,0.104,0.092,0.059,0.203,0.778,0.205,0.289,0.224,0.365,0.764,0.412,0.167,0.181,0.064,0.126,0.469,0.495,1.355,0.236,0.076,0.065,0.266,2.483,0.930,0.506,0.177,0.353,2.554,3.930,80.020,0.462,2.081,1.539,1.024,5.228,9.959,6.342,2.100,1.546,4.315,0.065,0.000,0.000,0.000,0.024,1.322
20100531,Information Technology,704,-0.070410,-0.079695,0.000,0.143,0.493,13.333,1.85%,10.457,10.528,10.918,10.967,13.184,13.530,1.741,1.936,0.283,0.372,0.034,0.033,0.016,0.497,0.020,0.037,0.088,0.053,0.084,0.023,0.082,0.055,0.032,0.005,0.990,0.005,0.037,0.072,0.232,0.807,0.354,0.207,0.858,0.066,0.279,0.312,0.770,0.024,0.005,0.090,0.067,0.014,4.580,0.495,0.344,0.026,0.146,2.201,3.805,71.930,1.337,2.541,2.225,0.785,4.777,7.408,6.029,1.261,1.130,2.272,0.079,0.105,0.000,0.000,0.068,1.195
20100531,Materials,188,-0.088428,-0.087242,0.152,0.195,0.549,15.523,1.78%,8.095,7.289,12.029,11.774,13.156,13.515,0.844,1.857,0.323,0.231,0.068,0.068,0.072,0.260,0.032,0.073,0.124,0.086,0.113,0.048,0.113,0.091,0.065,0.305,0.692,0.306,0.365,0.309,0.336,0.628,0.515,0.186,0.155,0.084,0.096,0.687,0.309,1.802,0.417,0.073,0.066,0.355,1.438,1.152,0.540,0.243,0.420,3.041,3.914,76.142,0.462,2.298,1.507,0.893,5.695,9.345,7.172,2.054,1.273,3.955,0.066,0.002,0.000,0.000,0.199,1.463
20100531,Telecommunication Services,51,-0.056760,-0.041715,0.285,0.281,0.490,9.247,7.05%,6.500,4.266,9.765,10.961,11.339,11.433,1.179,1.887,0.349,0.281,0.043,0.025,0.051,0.581,0.019,0.101,0.256,0.077,0.105,0.030,0.152,0.069,0.028,0.493,0.488,0.464,0.491,0.036,0.310,0.415,1.002,0.141,0.130,0.197,0.049,1.138,0.202,2.633,0.733,0.076,0.076,0.588,1.523,1.560,0.629,0.391,0.558,1.320,1.601,22.718,0.670,1.531,1.453,0.514,19.688,8.230,10.375,1.685,0.700,5.763,0.101,0.000,0.003,0.000,-0.207,0.520
20100531,Utilities,102,-0.059026,-0.057270,0.617,1.434,0.909,15.378,4.44%,8.119,5.170,12.865,12.865,12.823,12.862,1.127,1.055,0.340,0.091,0.094,0.094,0.069,0.255,0.075,0.159,0.253,0.072,0.085,0.121,0.089,0.091,0.071,0.501,0.488,0.497,0.564,0.172,0.328,0.039,0.621,0.105,0.024,0.177,0.100,0.710,0.162,3.860,0.740,0.068,0.058,0.440,0.996,2.356,0.701,0.342,0.554,2.237,2.805,29.034,0.121,1.069,0.827,0.355,11.858,9.554,9.225,1.203,0.572,11.354,0.050,0.000,0.000,0.000,0.989,2.427
20100630,Consumer Discretionary,591,-0.116702,-0.101906,0.000,0.202,0.530,11.923,2.10%,7.746,5.994,11.190,11.203,11.500,11.610,0.611,1.502,0.351,0.420,0.069,0.069,0.064,0.359,0.025,0.064,0.106,0.119,0.175,0.035,0.124,0.108,0.069,0.247,0.732,0.246,0.334,0.248,0.239,0.751,0.536,0.196,0.200,0.070,0.102,0.594,0.536,1.186,0.260,0.083,0.068,0.267,2.305,0.952,0.529,0.205,0.406,2.363,3.456,63.053,0.469,1.751,1.151,1.289,5.245,10.210,10.820,2.613,1.918,5.157,0.089,0.000,0.014,0.000,0.205,0.980
