,public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median,PEG_1yrforward_Median,PEG_ltgforward_Median
1223,20090831,Financials,804,0.054974,0.104219,0.579,0.613,1.282,10.505,2.76,11.715,5.024,3.955,3.655,7.607,7.67,1.106,0.842,0.302,0.028,0.002,0.005,0,0.398,0.007,0.134,0.162,0.106,0.168,0,0.012,0.034,0.005,0.441,0.558,0.442,0.685,0,0.23,0.891,0.322,0.014,0.053,0.044,0.218,0.393,0.502,4.279,0.791,0.067,0.057,0.11,55.569,8.67,0.897,0.141,0.895,0.892,1.818,273.048,0.895,1.99,1.645,0.061,5.614,0.062,0.092,0.686,0.365,2.822,0.013,0,0.007,0.22,-0.107,0.864
1233,20090930,Financials,803,-0.000289,0.014916,0.579,0.591,1.273,10.594,2.69,11.714,5.078,4.986,4.751,7.755,7.755,1.12,0.861,0.302,0.028,0.004,0.006,0,0.4,0.009,0.136,0.163,0.113,0.176,0.006,0.012,0.035,0.006,0.44,0.559,0.442,0.683,0,0.228,0.889,0.383,0.014,0.053,0.045,0.217,0.426,0.506,4.258,0.79,0.067,0.057,0.109,55.569,8.669,0.897,0.139,0.895,0.914,1.876,269.592,0.92,2.003,1.773,0.061,5.708,0.062,0.092,0.685,0.365,2.859,0.013,0,0.007,0.22,-0.107,0.952
1243,20091031,Financials,795,-0.071736,-0.061057,0.581,0.604,1.273,10.077,2.9,11.826,4.816,4.739,4.542,7.724,7.724,1.053,0.812,0.302,0.028,0.004,0.007,0,0.402,0.009,0.138,0.164,0.113,0.176,0.008,0.012,0.036,0.006,0.44,0.558,0.443,0.685,0,0.228,0.891,0.383,0.014,0.053,0.045,0.217,0.426,0.498,4.51,0.791,0.067,0.057,0.11,55.526,8.671,0.897,0.141,0.895,0.923,1.875,266.157,0.886,1.957,1.606,0.061,5.781,0.061,0.091,0.682,0.361,2.896,0.013,0,0.007,0.221,-0.093,0.893
1253,20091130,Financials,789,-0.018023,0.034472,0.534,0.305,1.199,10.092,2.8,11.34,4.626,5.121,5.192,7.346,7.376,1.087,0.769,0.3,0.029,0.012,0.015,0,0.409,0.022,0.145,0.174,0.123,0.161,0.023,0.013,0.038,0.014,0.435,0.557,0.44,0.656,0,0.239,0.906,0.386,0.014,0.059,0.058,0.206,0.491,0.505,4.13,0.785,0.067,0.056,0.105,55.814,8.391,0.894,0.135,0.892,1.544,2.661,258.25,0.977,1.97,1.847,0.06,5.154,0.059,0.092,0.682,0.361,2.726,0.014,0,0.007,0.222,-0.062,0.705
1263,20091231,Financials,787,0.027339,-0.012079,0.537,0.347,1.192,10.378,2.67,11.34,4.795,5.432,5.463,7.904,7.917,1.106,0.81,0.299,0.029,0.013,0.016,0,0.41,0.024,0.145,0.174,0.125,0.162,0.023,0.013,0.039,0.015,0.434,0.557,0.44,0.656,0,0.235,0.906,0.396,0.014,0.059,0.058,0.206,0.506,0.503,4.13,0.785,0.067,0.056,0.106,55.632,8.388,0.894,0.135,0.892,1.544,2.661,256.959,0.957,1.955,1.814,0.06,5.102,0.059,0.092,0.683,0.36,2.726,0.014,0,0.007,0.221,-0.054,0.845
1273,20100131,Financials,785,0.050111,0.002591,0.538,0.339,1.192,10.554,2.8,11.33,4.89,5.462,5.399,7.588,7.822,1.148,0.82,0.299,0.029,0.014,0.016,0,0.411,0.024,0.146,0.173,0.128,0.223,0.025,0.013,0.039,0.015,0.433,0.557,0.439,0.656,0,0.235,0.906,0.42,0.014,0.059,0.059,0.206,0.532,0.498,4.127,0.783,0.067,0.056,0.105,55.632,8.373,0.894,0.135,0.892,1.548,2.678,255.735,0.939,2.023,1.911,0.06,5.102,0.059,0.092,0.681,0.358,2.632,0.014,0,0.007,0.222,-0.049,0.776
1283,20100228,Financials,784,0.021844,0.033708,0.371,0.383,1.203,10.936,2.6,10.573,6.158,7.958,7.961,8.804,8.805,1.165,0.86,0.295,0.03,0.024,0.028,0,0.401,0.041,0.156,0.188,0.139,0.256,0.056,0.014,0.047,0.03,0.377,0.57,0.375,0.622,0,0.254,0.901,0.455,0.011,0.067,0.077,0.288,0.511,0.449,3.51,0.622,0.065,0.053,0.082,56.635,8.415,0.895,0.119,0.894,3.187,4.133,240.782,0.834,2.088,1.937,0.061,5.149,0.06,0.094,0.684,0.39,2.792,0.009,0,0.005,0.232,-0.009,1.014
1293,20100331,Financials,785,0.066257,0.086836,0.364,0.419,1.2,11.987,2.44,10.574,6.587,8.667,8.629,9.734,9.824,1.275,0.922,0.295,0.03,0.024,0.028,0,0.405,0.042,0.156,0.189,0.141,0.277,0.057,0.014,0.047,0.03,0.374,0.573,0.371,0.621,0,0.266,0.9,0.463,0.011,0.067,0.077,0.289,0.526,0.475,3.516,0.616,0.065,0.053,0.079,56.73,8.464,0.895,0.119,0.894,3.196,4.142,243.688,0.811,2.06,1.854,0.061,5.161,0.06,0.094,0.684,0.392,2.887,0.009,0,0.005,0.232,-0.012,1.095
1303,20100430,Financials,778,0.104965,0.020546,0.37,0.435,1.194,12.584,2.29,10.617,7.359,9.3,9.296,10.194,10.33,1.377,0.983,0.295,0.03,0.026,0.03,0,0.408,0.045,0.157,0.19,0.143,0.298,0.059,0.014,0.048,0.03,0.372,0.572,0.371,0.62,0,0.277,0.899,0.465,0.011,0.067,0.08,0.291,0.57,0.449,3.526,0.616,0.065,0.054,0.081,56.73,8.455,0.895,0.118,0.894,3.218,4.142,243.688,0.834,2.076,1.836,0.061,5.169,0.059,0.094,0.684,0.392,2.792,0.009,0,0.005,0.232,-0.02,1.172
1313,20100531,Financials,773,-0.081541,-0.093583,0.446,0.23,1.088,12.144,2.48,10.593,6.231,7.816,7.901,8.337,8.509,1.305,0.914,0.295,0.032,0.032,0.033,0,0.424,0.048,0.16,0.192,0.174,0.359,0.065,0.015,0.048,0.035,0.4,0.576,0.408,0.605,0,0.26,0.909,0.423,0.011,0.067,0.088,0.2,0.647,0.482,3.636,0.679,0.063,0.054,0.097,57.794,8.407,0.893,0.121,0.892,3.719,4.389,248.558,0.998,2.007,1.871,0.059,4.325,0.051,0.094,0.673,0.374,2.935,0.01,0,0.005,0.232,-0.021,1.099
